0208770|BordierAmbassadeenTurquiede|Gontaut-Biron - Ambassade en Turquie de Jean de Gontaut Biron, baron de Salignac.djvu|ark:/12148/bpt6k2087705|Ambassade en Turquie de Jean de Gontaut Biron, baron de Salignac|[Bordier, Jules] - Gontaut-Biron, Théodore de (éd.)|300|<pagelist 1to3=- 4=1 4to79=roman 80=1 233=- 234=157 />|Jules Bordier
0082289|ChasseriauPrecisdelabolition1|Chasseriau - Précis de l’abolition de l’esclavage dans les colonies anglaises (1).djvu|ark:/12148/bpt6k822897|Précis de l’abolition de l’esclavage dans les colonies anglaises|[Chasseriau, F.]|400|<pagelist 1to12=- 13=2 13to43=roman 44to46=- 47=4 121to124=- 125=82 />|Frédéric-Victor-Charles Chassériau
0082290|ChasseriauPrecisdelabolition2|Chasseriau - Précis de l’abolition de l’esclavage dans les colonies anglaises (2).djvu|ark:/12148/bpt6k82290f|Précis de l’abolition de l’esclavage dans les colonies anglaises|F. Chasseriau|400|<pagelist 1to6=- 7=2 7to10=roman 11to14=- 15=2 444=- />|Frédéric-Victor-Charles Chassériau
0082291|ChasseriauPrecisdelabolition3|Chasseriau - Précis de l’abolition de l’esclavage dans les colonies anglaises (3).djvu|ark:/12148/bpt6k82291s|Précis de l’abolition de l’esclavage dans les colonies anglaises|F. Chasseriau|400|<pagelist 1to6=- 7=2 7to21=roman 22to24=- 25=4 568=- />|Frédéric-Victor-Charles Chassériau
0082293|ChasseriauPrecisdelabolition5|Chasseriau - Précis de l’abolition de l’esclavage dans les colonies anglaises (5).djvu|ark:/12148/bpt6k82293g|Précis de l’abolition de l’esclavage dans les colonies anglaises|F. Chasseriau|400|<pagelist 1to8=- 9=4 582=- />|Frédéric-Victor-Charles Chassériau
0074265|CurzonFredericlePlay|de Curzon - Frédéric le Play.djvu|ark:/12148/bpt6k74265h|Frédéric le Play : sa méthode, sa doctrine, son oeuvre, son esprit|[Curzon, Emmanuel Parent de]|300|<pagelist 1=1 1to55=roman 56=1 />|Emmanuel Parent de Curzon
0024257|DeuxJournalistesBiographiedes750repres|Deux journalistes - Biographie des 750 représentants à l’Assemblée législative, élus le 13 mai 1849.djvu|ark:/12148/bpt6k24257v|Biographie des 750 représentants à l’Assemblée législative, élus le 13 mai 1849|[Deux journalistes]|300|<pagelist 1to2=- 3=1 259to260=- />|
0005023|DoondelaRoche|Anonyme - Doon de la Roche.djvu|ark:/12148/bpt6k5023g|Doon de la Roche|[Doon de la Roche ] - Meyer, Paul - Huet, Gédéon (éd.)|300|<pagelist 1to4=- 5=1 5to108=roman 109=1 351to356=- />|Anonyme
0092114|DurbanEssaissurlesprincipes|Durban - Essais sur les principes des finances.djvu|ark:/12148/bpt6k921148|Essais sur les principes des finances|[Durban]|300|<pagelist 1to4=- 5=1 5to8=roman 9=1 205=- />|Jean-Baptiste-Bertrand Durban
0004080|Macairechansondegeste|Anonyme - Macaire, chanson de geste.djvu|ark:/12148/bpt6k40800|Macaire, chanson de geste|[Macaire]|300|<pagelist 1to8=- 9=1 9to192=roman 193=1 />|Anonyme
0093935|VeronRecherchesetconsiderations1|Véron - Recherches et considérations sur les finances de la France, 1.djvu|ark:/12148/bpt6k93935p|Recherches et considérations sur les finances de la France|François Véron Duverger de Forbonnais|300|<pagelist 1to4=- 5=1 />|François Véron Duverger de Forbonnais
0093936|VeronRecherchesetconsiderations6|Recherches et considérations sur les finances de la France, 6.djvu|ark:/12148/bpt6k939361|Véron - Recherches et considérations sur les finances de la France|[Véron de Forbonnais, François]|300|<pagelist 1to4=- 5=1 103to104=- 105=99 117=- 118=111 />|François Véron Duverger de Forbonnais
0093937|VeronRecherchesetconsiderations4|Recherches et considérations sur les finances de la France, 4.djvu|ark:/12148/bpt6k93937c|Recherches et considérations sur les finances de la France|[Véron de Forbonnais, François]|300|<pagelist 1to4=- 5=1 35=- 36=31 44=- 45=39 121=- 122=115 152=- 153=145 175=- 176=167 300=- 301=291 339=- 340=329 362=- 363=351 409=- 410=397 424=- 425=411 431=- 432=417 />|François Véron Duverger de Forbonnais
0093938|VeronRecherchesetconsiderations3|Recherches et considérations sur les finances de la France, 3.djvu|ark:/12148/bpt6k93938q|Recherches et considérations sur les finances de la France|[Véron de Forbonnais, François]|300|<pagelist 1to4=- 5=1 61=- 62=57 106to107=- 108=101 136to137=- 138=129 140=- 141=131 151=- 152=141 260=- 261=249 263=- 264=251 266=- 267=253 />|François Véron Duverger de Forbonnais
0028178|AboutRomecontemporaine|About - Rome contemporaine.djvu|ark:/12148/bpt6k28178h|Rome contemporaine|About, Edmond|300|<pagelist 1to6=- 7=3 7to8=roman 9=5 375to376=- />|Edmond About
